Nhóm nghĩa loại,Chủ đề lớn (TV),Chủ đề con (TV),
,,Thành ngữ về thân thể,一日身死     一身两任     一身两头     一身两役     一身二任     一身五心     一身是胆     三省吾身     丧身失节     了身脱命     了身达命     五短身材     人百其身     仅以身免     以养伤身     以身作则     以身报国     以身殉国     以身殉职     以身许国     以身试法     以身试险     佻身飞镞     修身养性     修身慎行     修身洁行     修身立节     修身齐家     借身报仇     全身远害     全身远祸     典身卖命     养虎伤身     分身减口     分身无术     切身体会     功成身退     功遂身退     劳身焦思     勤以立身     半身不摄     半身不遂     卑身屈体     卑身贱体     卖身投靠     厕身其间     反治其身     反身自问     只身孤影     各显身手     吞炭漆身     图身忘国     大显身手     大胆包身     奋不虑身     奋不顾身     奋身不顾     奋身独步     孑然一身     孤身只影     守身如玉     守身若玉     安身为乐     安身之地     安身之处     安身乐业     安身立命     家破身亡     容头过身     尾生丧身     屈身辱志     弃智遗身     引火烧身     徇国忘身     忧国忘身     忿不顾身     恫瘝在身     惹火上身     惹火烧身     感同身受     感慨杀身     感遇忘身     愤不顾身     慎身修永     戕身伐命     才广妨身     打翻身仗     披发文身     持禄养身     指敌忘身     挺身独出     挺身而出     捐身徇义     摇身一变     摧身碎首     操身行世     文身剪发     文身断发     文身翦发     断发纹身     明哲保身     杀身之祸     杀身出生     杀身成义     杀身成仁     杀身成名     杀身报国     杀身救国     束身修行     束身受命     束身就缚     束身自修     束身自好     束身自爱     正身明法     正身清心     正身率下     殉义忘身     殒身不恤     殒身碎首     毁不危身     没身不忘     洁身累行     洁身自好     洁身自守     洁身自爱     浑身是胆     浑身解数     润屋润身     清身洁己     渺然一身     漆身吞炭     潜身缩首     潜身远祸     潜身远迹     澡身浴德     灰身泯智     灰身灭智     灰身粉骨     独善一身     独善其身     独善吾身     现身说法     病魔缠身     百身何赎     百身莫赎     省身克己     知命安身     砥身砺行     碎身粉骨     碎身糜躯     碎骨粉身     祝发文身     科班出身     称身裁衣     立命安身     立身处世     立身扬名     立身行己     立身行道     等身著作     粉身灰骨     粉身碎骨     粉骨碎身     粉骨糜身     终身不渝     终身不齿     终身之丑     终身之忧     终身之恶     终身大事     置身事外     老身长子     胆大于身      自身难保      舍身为国      舍身取义      舍身图报      舍身求法      艺不压身      芒刺在身      苦身焦思      著作等身      著述等身      葬身鱼腹      薄技在身      行伍出身      衣不遮身      被发文身      言传身教      言教身传      设身处地      谨身节用      象齿焚身      贤身贵体      赔身下气      赤身裸体      赤身露体      走身无路      身不由主      身不由己      身不遇时      身临其境      身价倍增      身价百倍      身体力行      身体发肤      身做身当      身先士众      身先士卒      身先朝露      身入其境      身分不明      身单力薄      身历其境      身名两泰      身名俱泰      身名俱灭      身名俱败      身后萧条      身外之物      身家性命      身寄虎吻      身将就木      身废名裂      身强力壮      身当其境      身当矢石      身微力薄      身微言轻      身心交病      身心交瘁      身心健康      身怀六甲      身操井臼      身无分文      身无完肤      身无寸缕      身无寸铁      身无择行      身无立锥      身无长处      身无长物      身显名扬      身死名辱      身经百战      身自为之      身败名裂      身败名隳      身贫如洗      身轻体健      身轻言微      身远心近      身退功成      身遥心迩      身非木石      身首分离      身首异地      身首异处      轻身下气      轻身徇义      轻身殉义      轻身重义      辱身败名      进身之阶      远害全身      退步抽身      遁身远迹      重气轻身      长身玉立      长身鹤立      降志辱身      陨身糜骨      陷身囹圄      隐占身体      顶名替身      首身分离      验明正身      黄袍加身      齑身粉骨
,,Thành ngữ về cơ thể,一体同心     一体知悉     一体知照     一心同体     三位一体     不成体统     不知大体     不识大体     不达大体     习与体成     五体投地     五体投诚     仪静体闲     体体面面     体国安民     体国经野     体大思精     体察民情     体恤入微     体无完皮     体无完肤     体物缘情     体规画圆     体贴入妙     体贴入微     公忠体国     具体而微     兹事体大     凡胎浊体     切身体会     千金之体     千金贵体     卑身屈体     卑身贱体     同功一体     四体不勤     四体百骸     四肢百体     宽严得体     屈节卑体     年老体弱     年老体衰     心奓体忲     心宽体肥     心宽体胖     心广体胖     恫瘝一体     成何体统     放心解体     斯事体大     无伤大体     无关大体     月露之体     枯体灰心     柔肤弱体     椎肤剥体     此事体大     汗流浃体     沾体涂足     浑然一体     混然一体     温柔体贴     父母遗体     相体裁衣     神不主体     神不附体     科头袒体     称体裁衣     称体载衣     移气养体     缘情体物     羊体嵇心     膘肥体壮     芳兰竟体     虎体元斑     虎体原斑     虎体熊腰     虎体鹓斑     融为一体     衣不布体     衣不盖体     衣不蔽体     衣不遮体     贤身贵体     赤体上阵     赤身裸体     赤身露体     身体力行     身体发肤     身轻体健     躬体力行     遍体鳞伤     遐迩一体     量体裁衣     降颜屈体     隐占身体     青紫被体     香肌玉体     魂不着体     魂不著体     魂不负体     魂不赴体     魂不附体     黄袍加体
,,Thành ngữ về đầu,七首八脚     三首六臂     不堪回首     举首加额     举首奋臂     举首戴目     乱首垢面     仰首伸眉     企足矫首     伏首帖耳     伏首贴耳     伤心疾首     低眉下首     低首下心     低首下气     低首俯心     俛首帖耳     俛首系颈     俯首受命     俯首听命     俯首就擒     俯首就缚     俯首帖耳     俯首弭耳     俯首戢耳     俯首贴耳     元凶首恶     全其首领     六阳会首     冯唐白首     决命争首     刀头剑首     剑首一吷     功首罪魁     匕首投枪     卬首信眉     反首拔舍     囚首丧面     囚首垢面     圆首方足     垂耳下首     垂首丧气     垂首帖耳     妥首帖耳     布衣黔首     庞眉皓首     引领翘首     引首以望     归正邱首     归正首丘     归正首邱     彻首彻尾     心折首肯     心服首肯     恫心疾首     悬首吴阙     悼心疾首     拜手稽首     捐躯殒首     据图刎首     搔首弄姿     搔首踟蹰     摇首吐舌     摇首咋舌     摇首顿足     摧身碎首     文章魁首     昂首伸眉     昂首天外     昂首挺胸     昂首望天     昂首阔步     有首有尾     枭首示众     殒身碎首     潜身缩首     牛首阿旁     狐死首丘     甘为戎首     甘心首疾     畏首畏尾     疚心疾首     疢如疾首     疾首痛心     疾首蹙頞     疾首蹙额     痛心疾首     痛心病首     白首一节     白首不渝     白首为郎     白首之心     白首北面     白首同归     白首如新     白首无成     白首相庄     白首相知     白首穷经     白首空归     白首齐眉     皓首庞眉     皓首穷经     皓首苍颜     瞻予马首     矫首昂视     碎首糜躯     碎首縻躯     神龙见首     祸首罪魁     糜躯碎首     罪魁祸首     群龙无首     翘足企首     翘首以待     翘首企足     翘首引领     翘首跂踵     胁肩低首     蓬首垢面     蛾眉螓首     螓首蛾眉     褎然举首     褎然冠首     褎然居首     贸首之仇     贸首之雠     足上首下     跷足抗首     身首分离     身首异地     身首异处     进退首鼠     通首至尾     降心俯首     雍门刎首     顿首再拜     额首称庆     首下尻高     首丘之念     首丘之思     首丘之情     首丘之望     首丘夙愿     首倡义举     首唱义举     首唱义兵     首善之区     首善之地     首如飞蓬     首尾不顾     首尾两端     首尾乖互     首尾共济     首尾受敌     首尾夹攻     首尾狼狈     首尾相卫     首尾相应     首尾相援     首尾相救     首尾相继     首尾相赴     首尾相连     首尾贯通     首屈一指     首当其冲     首战告捷     首施两端     首足异处     首身分离     首鼠两端     首鼠模棱     马首是瞻     马首欲东     骈首就僇     骈首就戮     骈首就死     骈首就系     骈首就逮     黄童皓首     鼠首偾事     龙首豕足
,,Thành ngữ về trán,举手加额     举手扣额     举首加额     以手加额     坚额健舌     头焦额烂     头痛额热     愁眉蹙额     拱手加额     攒眉蹙额     朱衣点额     烂额焦头     焦头烂额     燋头烂额     燕额虎头     疾首蹙额     皱眉蹙额     目语额瞬     破头烂额     虎头燕额     铜头铁额     额外主事     额手加礼     额手相庆     额手称庆     额手称颂     额蹙心痛     额首称庆     鼻青额肿     龙门点额
,,Thành ngữ về đầu,一年到头     一蛇两头     一身两头     万头攒动     万绪千头     三天两头     三头两日     三头两绪     三头两面     三头二面     三头八臂     三头六臂     三头六证     三头六面     三头对案     不劣方头     不大对头     不知头脑     两头三绪     两头三面     两头和番     两头担心     两头白面     乌头马角     乱头粗服     交头互耳     交头接耳     交颈并头     人头畜鸣     从头做起     从头到尾     从头彻尾     从头至尾     仕女班头     伸头探脑     伸头缩颈     低头下心     低头丧气     低头哈腰     低头搭脑     低头耷脑     低头认罪     佛头加秽     佛头着粪     佛头著粪     依头缕当     依头顺尾     倔头倔脑     倔头强脑     傲头傲脑     傻头傻脑     兔头獐脑     兔头麞脑     兜头盖脸     六臂三头     兴兴头头     冤家对头     冬烘头脑     冯唐头白     冲昏头脑     冷水浇头     出一头地     出人头地     出头之日     出头无日     出头有日     出头椽子     出头露脸     出头露面     刀头剑首     刀头燕尾     刀头舔蜜     切要关头     初露头角     剑头一吷     劈头劈脑     劈头劈脸     劈头盖脸     十字街头     十字路头     千头万序     千头万绪     千头桔奴     卖头卖脚     卬头阔步     危亡关头     危急关头     吴头楚尾     呆头呆脑     品头论足     品头评足     品头题足     回头是岸     团头聚面     国难当头     土头土脑     垂头丧气     垂头塌翅     垂头塞耳     垂头搨翼     垂头铩羽     垢面蓬头     埋头苦干     埋头顾影     墙头马上     大出风头     大头小尾     大祸临头     大难临头     大露头角     头一无二     头上安头     头上末下     头上著头     头会箕敛     头会箕赋     头出头没     头是道头     头撞南墙     头昏目晕     头昏目眩     头昏眼晕     头昏眼暗     头昏眼花     头昏脑眩     头昏脑胀     头昏脑闷     头晕目眩     头晕眼昏     头晕眼花     头梢自领     头没杯案     头焦额烂     头疼脑热     头痒搔跟     头痛治头     头痛脑热     头痛额热     头白齿豁     头皮发麻     头眩目昏     头眩眼花     头破流血     头破血出     头破血流     头破血淋     头稍自领     头童齿豁     头脑冷静     头脑膨胀     头角峥嵘     头角崭然     头足倒置     头足异处     头足异所     头重脚轻     头面人物     头高头低     奉头鼠窜     套头裹脑     容头过身     对头冤家     寻头讨脑     小头小脑     少头没尾     少头缺尾     尘头大起     岗头泽底     崭露头脚     崭露头角     巴头探脑     巷尾街头     平头正脸     平头百姓     年头月尾     床头金尽     当头一棒     当头对面     当头棒喝     彻头彻尾     得胜回头     得胜头回     德胜头回     德胜头迴     心头撞鹿     心头鹿撞     心挂两头     恨如头醋     悬头刺股     悬头刺骨     愣头愣脑     憨头憨脑     懵头转向     戆头戆脑     戴头而来     戴头识脸     手头不便     扭头别项     抓头挖耳     抛头露脸     抛头露面     披头散发     披头盖脑     披头跣足     抱头大哭     抱头痛哭     抱头缩项     抱头鼠窜     拳头产品     捧头鼠窜     掉头不顾     掉头鼠窜     掐头去尾     探头探脑     探头缩脑     接耳交头     描头画角     搔头弄姿     搔头抓耳     搔头摸耳     摆尾摇头     摇头叹息     摇头幌脑     摇头摆尾     摇头摆脑     摇头晃脑     摇头稾脑     摇头麰尾     摸头不着     撞头搕脑     撞头磕脑     改头换尾     改头换面     改换头面     斜头歪脑     斩头去尾     斩头沥血     断头将军     方头不劣     方头不律     无头告示     无头无尾     昂头天外     昂头挺胸     昂头阔步     昏头打脑     昏头搭恼     昏头搭脑     昏头昏脑     昏头晕脑     昏头转向     显露头角     晕头转向     有头无尾     有头无脑     有头有尾     有头有脑     有头有脸     有头没脑     木头木脑     朱衣点头     杖头木偶     楚尾吴头     楞头呆脑     楞头楞脑     楞头磕脑     横头横脑     檄愈头风     死不回头     死到临头     毛头小子     毛头毛脑     水调歌头     汗青头白     没头官司     没头没脑     没头没脸     没头苍蝇     油头光棍     油头滑脑     油头滑脸     油头滑面     油头粉面     浪子回头     浮头滑脑     源头活水     滑头滑脑     灰头土脸     灰头土面     灰头草面     点头之交     点头会意     点头咂嘴     点头哈腰     点头称善     点头称是     点头道是     烂额焦头     焦头烂额     燋头烂额     燕颔虎头     燕额虎头     牛头阿旁     牛头马面     狗头军师     狗头鼠脑     狗血喷头     狗血淋头     独占鳌头     狼吃幞头     猴头猴脑     獐头鼠目     生死关头     畏头畏尾     癫头癫脑     白头不终     白头之叹     白头偕老     白头到老     白头如新     白头相守     白头相并     白头而新     百丈竿头     百尺竿头     盖头换面     目眩头昏     目眩头晕     眉头不伸     眉头眼后     眉头眼尾     眉头眼脑     破头烂额     硬着头皮     磕头如捣     磕头烧香     磕头碰脑     磕头礼拜     神头鬼脸     神头鬼面     禾头生耳     科头箕裾     科头箕踞     科头袒体     科头赤足     科头跣足     空头人情     空头支票     竹头木屑     竿头一步     竿头日上     竿头日进     竿头直上     笔头生花     笨头笨脑     粉面油头     粗服乱头     紧要关头     红头文件     纳头便拜     绣花枕头     缩头缩脑     缩头缩脚     缩头缩颈     羊头狗肉     老婆舌头     肥头大耳     肥头大脸     肥头大面     肥头胖耳     臼头深目     舒头探脑     茫无头绪     草头天子     著粪佛头     蒙头转向     蓬头历齿     蓬头厉齿     蓬头垢面     蓬头散发     蓬头赤脚     蓬头跣足     蔫头耷脑     藏头亢脑     藏头护尾     藏头漏影     藏头露尾     虎头燕颔     虎头燕额     虎头虎脑     虎头蛇尾     虎头鼠尾     蚕头燕尾     蛇头蝎尾     蛇头鼠眼     蜗角蝇头     蝇头小利     蝇头小楷     蝇头微利     蝇头蜗角     蠢头呆脑     街头巷口     街头巷尾     街头巷底     街头市尾     计上心头     认影为头     认影迷头     评头品足     评头论脚     评头论足     豹头环眼     贼头狗脑     贼头贼脑     贼头鬼脑     贼头鼠脑     走回头路     走头无路     走头没路     跣足科头     迎头痛击     迎头赶上     连枝并头     迷头认影     道头会尾     道头知尾     都头异姓     针头削铁     针头线尾     针头线脑     钉头磷磷     钻头就锁     钻头觅缝     铜头铁臂     铜头铁额     陇头音信     雉头狐腋     露头露脸     露尾藏头     露面抛头     顶头上司     顽石点头     颠头播脑     颠头簸脑     颠头耸脑     马上墙头     马角乌头     马面牛头     高头大马     高头讲章     鬼头滑脑     鬼头鬼脑     鳌头独占     鸡头鱼刺     鸿运当头     鹰头雀脑     黄毛丫头     鼓脑争头     鼠目獐头     鼠目麞头     鼻头出火     齐头并进     齿豁头童     龙头蛇尾     龙头锯角
,,Thành ngữ về não,一股脑儿     不知头脑     伸头探脑     低头搭脑     低头耷脑     倔头倔脑     倔头强脑     傲头傲脑     傻头傻脑     兔头獐脑     兔头麞脑     冬烘头脑     冲昏头脑     削尖脑袋     劈头劈脑     呆头呆脑     土头土脑     头昏脑眩     头昏脑胀     头昏脑闷     头疼脑热     头痛脑热     头脑冷静     头脑膨胀     套头裹脑     寻头讨脑     小头小脑     巴头探脑     愣头愣脑     憨头憨脑     戆头戆脑     披头盖脑     探头探脑     探头缩脑     摇头幌脑     摇头摆脑     摇头晃脑     摇头稾脑     撞头搕脑     撞头磕脑     斜头歪脑     昏头打脑     昏头搭脑     昏头昏脑     昏头晕脑     有头无脑     有头有脑     有头没脑     木头木脑     枯脑焦心     楞头呆脑     楞头楞脑     楞头磕脑     榆木脑壳     榆木脑袋     横头横脑     死脑瓜骨     毛头毛脑     没头没脑     油头滑脑     浮头滑脑     滑头滑脑     狗头鼠脑     猴头猴脑     痛心拔脑     癫头癫脑     眉头眼脑     破脑刳心     磕头碰脑     笨头笨脑     绞尽脑汁     缩头缩脑     置之脑后     肝脑涂地     肠肥脑满     肥肠满脑     脑子生锈     脑满肠肥     脑瓜不灵     舒头探脑     蔫头耷脑     藏头亢脑     虎头虎脑     蠢头呆脑     豆渣脑筋     贼头狗脑     贼头贼脑     贼头鬼脑     贼头鼠脑     针头线脑     颠头播脑     颠头簸脑     颠头耸脑     鬼头滑脑     鬼头鬼脑     鹰头雀脑     鼓脑争头     龙肝凤脑
,,Thành ngữ về mặt,兜头盖脸     出头露脸     劈头劈脸     劈头盖脸     厚皮老脸     反脸无情     变脸变色     哭丧着脸     喜眉笑脸     嘻皮涎脸     嘻皮笑脸     嬉皮笑脸     平头正脸     急扯白脸     急赤白脸     愁眉苦脸     戴头识脸     抓破脸子     抓破脸皮     抛头露脸     抹不下脸     拉不下脸     挨肩擦脸     攒眉苦脸     有头有脸     杏脸桃腮     杏腮桃脸     柳腰莲脸     桃腮杏脸     桃腮粉脸     死不要脸     死皮赖脸     没头没脸     没皮没脸     没脸没皮     油头滑脸     涎皮涎脸     涎皮赖脸     涎脸涎皮     涎脸饧眼     满脸春色     满脸春风     满脸生花     灰头土脸     焦眉苦脸     神头鬼脸     红脸赤颈     翻脸无情     老着脸皮     肥头大脸     脸无人色     脸红筋暴     脸红筋涨     脸红耳热     脸红耳赤     脸青鼻肿     脸黄肌瘦     西眉南脸     讪皮讪脸     露头露脸     青脸獠牙     鼻青脸肿
,,Thành ngữ về mặt,一面之交     一面之款     一面之缘     一面之识     一面之词     一面之辞     一面之雅     一面儿理     一面如旧     一面虚词     三头两面     三头二面     三头六面     三对六面     不学面墙     不羞当面     不识局面     东西易面     东风人面     两头三面     两头白面     两面三刀     两面二舌     两面光两     面讨好     乌面鹄形     乱首垢面     人心如面     人面兽心     人面桃花     人面狗心     人面鬼心     以泪洗面     以点带面     仰面唾天     仰面朝天     体体面面     借面吊丧     八面受敌     八面圆通     八面威风     八面张罗     八面玲珑     八面莹澈     八面见光     八面驶风     兽心人面     冷心冷面     冷面寒铁     出头露面     别开生面     北面称臣     十面埋伏     千人一面     千里犹面     半斤八面     半面不忘     半面之交     半面之旧     南面百城     南面称孤     南面称尊     南面称王     反面教员     反面教材     反面文章     反面无情     另开生面     唾面自干     囚首丧面     囚首垢面     四方八面     四面八方     四面出击     四面受敌     四面楚歌     四面碰壁     团头聚面     垢面蓬头     墙面而立     头面人物     威风八面     宋才潘面     审曲面势     审曲面埶     富面百城     就汤下面     尹邢避面     庐山真面     庐山面目     廷争面折     当头对面     当面献丑     当面错过     心慈面软     心活面软     怒容满面     情面难却     打个照面     打当面鼓     抓破面皮     抛头露面     拥书南面     拭面容言     掩面失色     改头换面     改换头面     敷衍门面     方方面面     方面大耳     无情少面     春风满面     晬面盎背     有何面目     本来面目     朱唇玉面     朱唇粉面     朱颜粉面     杜门面壁     桃花人面     楚歌四面     死要面子     汗流满面     污手垢面     汤去三面     油头滑面     油头粉面     泪流满面     洗心回面     洗心革面     满面含春     满面春风     满面红光     满面羞惭     灰头土面     灰头草面     热肠冷面     牛头马面     独当一面     狰狞面孔     狰狞面目     狰狞面貌     白面书生     白面书郎     白面儒冠     白面儒生     白首北面     盖头换面     眉南面北     眼泪洗面     睟面盎背     硬撑门面     神头鬼面     笑容满面     笑面夜叉     笑面老虎     粉面含春     粉面朱唇     粉面油头     粉饰场面     粉饰门面     素未谋面     素面朝天     红光满面     缘悭一面     网开一面     网开三面     羞惭满面     羞面见人     羸形垢面     耍两面派     耳提面命     耳红面赤     肉袒面缚     肥头大面     背前面后     蒙面丧心     蓬头垢面     蓬首垢面     表面文章     装潢门面     装点门面     触事面墙     转面无情     避面尹邢     铁面御史     铁面无私     铁面枪牙     阴阳两面     露面抛头     青面獠牙     面不改容     面不改色     面争庭论     面从后言     面从背言     面从腹诽     面从腹非     面似靴皮     面冷言横     面北眉南     面命耳提     面命耳训     面墙而立     面壁功深     面壁磨砖     面壁虚构     面如傅粉     面如冠玉     面如凝脂     面如土色     面如方田     面如死灰     面如满月     面如灰土     面引廷争     面折庭争     面折廷争     面折廷诤     面授机宜     面无人色     面无惭色     面是心非     面是背非     面有菜色     面有难色     面朋口友     面目一新     面目全非     面目可憎     面目犁黑     面目狰狞     面目黎黑     面目黧黑     面红耳热     面红耳赤     面红过耳     面红面绿     面红面赤     面红颈赤     面缚舆榇     面缚衔璧     面色如土     面若死灰     面誉背毁     面誉背非     面谀背毁     面谩腹诽     面貌一新     面貌狰狞     面面俱到     面面俱圆     面面厮觑     面面周到     面面圆到     面面皆到     面面相看     面面相睹     面面相窥     面面相觑     面黄肌瘦     靦面相迎     革面悛心     革面敛手     革面洗心     革面革心     颜面扫地     马面牛头     鸟面鹄形     鸠形鹄面     鹄形鸟面     鹄面鸟形     鹄面鸠形     鹑衣鹄面
,,Thành ngữ về tóc,一发千钧     一发破的     一触即发     一言不发     一语不发     不差毫发     不悱不发     不毒不发     不爽毫发     不绝如发     东窗事发     丝发之功     丝恩发怨     丝析发解     举例发凡     云涌飙发     云程发轫     从宽发落     从轻发落     令人发指     借题发挥     先发制人     兴旺发达     兴致勃发     冲冠发怒     冲冠怒发     冲口而发     初发芙蓉     削发为僧     削发披缁     剪发披缁     剪发披褐     剪发杜门     剪发被褐     十发十中     千钧一发     升官发财     华发苍颜     厚积薄发     发上冲冠     发上指冠     发人深思     发人深省     发凡举例     发凡言例     发凡起例     发号出令     发号吐令     发号布令     发号施令     发名成业     发喊连天     发奋为雄     发奋图强     发奋有为     发奋蹈厉     发奸摘覆     发奸摘隐     发奸擿伏     发奸露覆     发威动怒     发宪布令     发家致富     发屋求狸     发引千钧     发怒冲冠     发怒穿冠     发愤图强     发愤展布     发愤忘食     发愤忘餐     发愤自厉     发愤自雄     发扬光大     发扬踔厉     发扬蹈励     发扬蹈厉     发指眦裂     发摘奸隐     发擿奸伏     发政施仁     发棠之请     发植穿冠     发潜阐幽     发皇张大     发瞽振聋     发短心长     发硎新试     发秃齿豁     发科打诨     发科打趣     发策决科     发纵指使     发纵指示     发综指示     发聋振聩     发荣滋长     发蒙启滞     发蒙启蔽     发蒙振槁     发蒙振聩     发蒙振落     发蒙解惑     发蒙解缚     发言盈庭     发誓赌咒     发财致富     发踊冲冠     发踪指使     发踪指示     发轫之始     发迹变泰     发隐摘伏     发隐擿伏     可发一噱     后发制人     吐哺捉发     吐哺握发     吐食握发     含齿戴发     噙齿戴发     壮发冲冠     声泪俱发     大发慈悲     大发议论     大发谬论     大发雷霆     天良发现     头皮发麻     奋发向上     奋发图强     奋发有为     奋发踔厉     奋发蹈厉     容光焕发     对天发誓     对症发药     尨眉皓发     巧发奇中     庞眉白发     庞眉皓发     庞眉鹤发     庞眉黄发     引而不发     弦无虚发     弹无虚发     心细于发     心细如发     心花怒发     心长发短     怒发冲冠     恨穷发极     恭喜发财     意气风发     愤发有为     截发剉稾     截发留宾     截发锉藳     戴发含牙     戴发含齿     扪隙发罅     披发入山     披发左衽     披发文身     披发缨冠     披头散发     披缁削发     按兵不发     振聋发聩     握发吐哺     握发吐飧     握发吐餐     摘奸发伏     擢发抽肠     擢发莫数     擢发难数     擿伏发奸     擿伏发隐     擿奸发伏     敛发谨饬     散发抽簪     整装待发     文身剪发     文身断发     文身翦发     断发文身     断发纹身     新发于硎     施号发令     施命发号     旧病复发     旷若发矇     旷若发蒙     明发不寐     星驰电发     春笋怒发     昭聋发聩     晰毛辨发     朝发夕至     朝发暮至     朱颜绿发     朱颜翠发     朱颜鹤发     机不容发     束发封帛     束带结发     枯木发荣     栉发耨苗     梨眉艾发     植发冲冠     植发穿冠     椎牛发冢     横发逆起     此发彼应     毛发不爽     毛发丝粟     毛发之功     毛发倒竖     毛发尽竖     毛发悚然     毛发悚立     毛发森竖     毛发皆竖     毛发耸然     毫发不爽     毫发丝粟     毫发无遗     洪炉燎发     涣发大号     燎发摧枯     生发未燥     留中不发     白发丹心     白发偕老     白发千丈     白发婆娑     白发朱颜     白发相守     白发红颜     白发苍苍     白发苍颜     白发郎官     白发青衫     百中百发     百发百中     眦裂发指     矢不虚发     矢无虚发     破奸发伏     祝发披缁     祝发文身     祝发空门     神采焕发     祸发萧墙     祸发齿牙     童颜鹤发     箭不虚发     箭无虚发     精神焕发     精采秀发     红得发紫     红颜白发     细不容发     结发夫妻     胆寒发竖     腥德发闻     艾发衰容     苍颜白发     英姿勃发     英姿焕发     蓬头散发     衅发萧墙     被发佯狂     被发入山     被发左衽     被发徒跣     被发撄冠     被发文身     被发洋狂     被发缨冠     被发详狂     被发跣足     被发阳狂     被发附膺     解发佯狂     触机便发     言发祸随     誓天断发     议论英发     议论风发     诗书发冢     诗礼发冢     贱敛贵发     赌咒发誓     赌神发咒     赌誓发原     赌誓发愿     起根发由     踔厉奋发     踔厉风发     踔厉骏发     蹈厉发扬     蹈厉奋发     身体发肤     锋发韵流     间不容发     隐忍不发     雄姿英发     震聋发聩     青山一发     须发皆白     风发泉涌     飙发电举     骀背鹤发     鸡皮鹤发     鸡肤鹤发     鹤发松姿     鹤发童颜     鹤发鸡皮     黄发儿齿     黄发台背     黄发垂髫     黄发骀背     黄发鲐背     齿危发秀
,,Thành ngữ về lông mày,丢眉丢眼     丢眉弄色     举案齐眉     京兆画眉     京兆眉妩     仰人眉睫     仰首伸眉     伸眉吐气     低眉下首     低眉倒运     低眉垂眼     低眉折腰     低眉顺眼     假眉三道     做眉做眼     傻眉楞眼     冷眉冷眼     卬首信眉     吐气扬眉     咂舌攒眉     善眉善眼     喜上眉梢     喜溢眉梢     喜眉笑眼     喜眉笑脸     安眉带眼     宛转蛾眉     尨眉皓发     展眼舒眉     山眉水眼     巾帼须眉     庞眉白发     庞眉皓发     庞眉皓首     庞眉鹤发     庞眉黄发     开眉展眼     开眉笑眼     弄眉挤眼     弄眼挤眉     张敞画眉     张眉努目     张眉努眼     张眉张眼     怒目横眉     怒目睁眉     怒眉睁目     愁眉不展     愁眉啼妆     愁眉泪眼     愁眉苦目     愁眉苦眼     愁眉苦脸     愁眉蹙额     愁眉锁眼     愚眉肉眼     慈眉善目     慈眉善眼     戴眉含齿     扫眉才子     扬眉吐气     扬眉奋髯     扬眉抵掌     扬眉眴目     扬眉瞬目     拱手低眉     挤眉弄眼     挤眉溜眼     描眉画眼     摧眉折腰     撑眉努眼     攒眉苦脸     攒眉蹙额     昂首伸眉     曲眉丰颊     月眉星眼     朗目疏眉     朗若列眉     杨柳宫眉     柳眉倒竖     柳眉剔竖     柳眉星眼     柳眉踢竖     梨眉艾发     楞眉横眼     横眉冷目     横眉冷眼     横眉努目     横眉吐气     横眉怒目     横眉怒视     横眉瞪目     横眉瞪眼     横眉立目     横眉立眼     横眉竖目     横眉竖眼     欢眉大眼     死眉瞪眼     没眉没眼     泪眼愁眉     洗眉刷目     浓眉大眼     涎眉邓眼     淡扫蛾眉     火烧眉毛     烧眉之急     焦眉愁眼     焦眉皱眼     焦眉苦脸     燃眉之急     狼眼鼠眉     画眉举案     画眉张敞     白眉赤眼     白首齐眉     白齿青眉     百龄眉寿     皓首庞眉     皓齿娥眉     皓齿蛾眉     皱眉蹙眼     皱眉蹙额     目挑眉语     目秀眉清     直眉怒目     直眉楞眼     直眉睖眼     直眉瞪眼     眉下添眉     眉南面北     眉头不伸     眉头眼后     眉头眼尾     眉头眼脑     眉尖眼尾     眉开眼笑     眉扬目展     眉来眼去     眉来语去     眉梢眼角     眉欢眼笑     眉清目朗     眉清目秀     眉留目乱     眉目不清     眉目传情     眉目分明     眉目如画     眉眼传情     眉眼如画     眉眼高低     眉睫之内     眉睫之利     眉睫之祸     眉睫之间     眉舒目展     眉花眼笑     眉语目笑     眉飞目舞     眉飞眼笑     眉飞色悦     眉飞色舞     眉高眼下     眉高眼低     看人眉眼     看人眉睫     眼去眉来     眼开眉展     眼笑眉舒     眼笑眉飞     眼角眉梢     瞋目竖眉     神眉鬼眼     神眉鬼道     祸迫眉睫     立眉瞪眼     立眉竖眼     粗有眉目     紫芝眉宇     肉眼愚眉     胁肩低眉     舒眉展眼     色飞眉舞     苫眼铺眉     菩萨低眉     蛾眉曼睩     蛾眉皓齿     蛾眉螓首     螓首蛾眉     西眉南脸     观眉说眼     贼眉溜眼     贼眉贼眼     贼眉鼠眼     近在眉睫     迟眉钝眼     迫于眉睫     迫在眉尖     迫在眉睫     送眼流眉     酸眉醋眼     铺眉苫眼     铺眉蒙眼     面北眉南     须眉交白     须眉巾帼     须眉男子     须眉皓然     鲜眉亮眼     黑眉乌嘴     齐眉举案     龙眉凤目     龙眉豹颈
